No action,1 bulbs equal,2 bulbs equal,1 vs. 2 bulbs different,Battery voltage equal,Battery voltage different,Resistance change: 1 or 2 bulbs,Resistance change: 2 bulbs,Resistance equal: 2 bulbs different value,Resistance equal: 2 or 1 vs. 2 bulbs same value,Resistance equal: 1 bulb,Resistance equal: 2 bulbs different value & position,Ammeter equal: after/before 1 or 2 bulb,Ammeter different: before vs. after 1 or 2 bulbs,Ammeter different: on high/low of 2 bulb,Voltmeter equal: 1 bulb or 2 bulbs or battery,Voltmeter equal: 2 bulbs,Voltmeter different: high vs. low resistance 2 bulbs,Voltmeter different: high vs. low resistance 2 bulbs vs. battery
1,2,0,0,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,2,0,2,0,0,0,1,1,0,0,0,1,1,1,0,1,0
2,2,2,0,3,1,1,0,1,1,1,0,2,2,0,2,0,0,0
0,1,1,0,2,0,1,0,1,0,0,0,0,2,0,2,0,0,0
0,3,1,0,3,1,2,0,1,0,1,0,2,2,0,3,0,1,1
0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,3,0,3,0,0,0,3,0,0,0,1,0,2,1,0,2,1
0,1,3,0,4,0,0,0,3,0,1,0,2,1,1,2,0,2,1
0,1,0,1,2,0,1,0,0,0,1,0,2,0,0,2,0,0,0
0,2,2,0,3,1,0,1,0,1,2,0,2,1,1,3,0,1,0
0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,2,1,0,3,0,1,0,1,0,1,0,0,2,1,3,0,0,0
0,1,0,1,2,0,1,0,0,0,1,0,1,1,0,2,0,0,0
0,0,1,3,4,0,2,0,2,0,0,0,2,1,1,4,0,0,0
0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0
0,0,1,1,2,0,0,1,0,1,0,0,1,0,1,2,0,0,0
0,0,3,1,4,0,1,0,2,1,0,0,2,1,1,3,0,1,0
0,1,1,0,2,0,0,0,1,0,1,1,0,1,1,1,0,1,0
0,1,0,1,2,0,0,0,1,0,1,1,1,1,0,1,0,1,0
0,1,1,0,2,0,0,0,1,0,1,0,0,1,1,2,0,0,0
0,1,1,0,2,0,1,0,0,0,1,0,1,1,0,1,0,1,0
0,2,2,1,5,0,1,3,0,0,1,0,2,3,0,5,0,0,0
0,1,1,0,2,0,0,1,0,0,1,0,1,1,0,1,0,1,0
0,1,2,0,3,0,1,1,1,0,0,0,1,1,1,3,1,0,0
0,1,1,0,2,0,0,0,0,1,1,0,1,1,0,2,0,0,0
0,0,2,0,2,0,0,0,2,0,0,0,0,1,1,0,0,2,1
0,0,1,1,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0
0,0,2,0,2,0,0,1,1,0,0,1,1,1,0,1,0,1,0
0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,2,0,0,0
0,1,1,0,1,1,1,0,0,1,0,0,2,0,0,2,0,0,0
0,1,2,0,2,1,0,1,1,0,1,0,2,1,0,2,0,1,0
0,3,2,0,4,1,0,0,1,1,3,1,4,1,0,4,1,1,0
0,4,0,0,3,1,3,0,0,0,1,0,1,3,0,4,0,0,0
0,3,0,2,3,2,0,0,0,1,3,0,4,1,0,5,0,1,0
0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,0,0,3,1,2,0,0,0,3,0,0,1,2,0,3,0,0,0
0,2,0,0,1,1,0,0,0,0,2,0,1,1,0,2,0,0,0
0,2,0,0,1,1,0,0,0,0,2,0,1,1,0,2,0,0,0
0,0,2,1,3,0,1,0,2,0,0,0,3,0,0,2,0,1,0
0,2,2,0,2,2,0,0,1,1,2,0,3,1,0,4,2,0,0
0,1,1,0,2,0,0,1,0,0,1,0,1,1,0,1,0,1,0
0,2,0,0,1,1,0,0,0,0,2,0,1,1,0,2,0,0,0
0,0,2,1,3,0,1,0,1,1,0,0,2,1,0,2,0,1,0
0,1,0,1,2,0,1,0,0,0,1,0,1,1,0,2,0,0,0
0,1,2,1,3,1,2,0,0,1,1,0,2,2,0,4,0,0,0
0,3,0,1,4,0,0,1,0,0,3,0,2,2,0,2,0,2,2
